x,y,heading,curvature,speed
20.7408,36.0263,-1.5282,0.085744,7.0
20.7655,35.6174,-1.4909,0.096266,6.757
20.8059,35.2122,-1.4494,0.107929,6.325
20.8637,34.8124,-1.4023,0.126787,5.87
20.9401,34.4236,-1.3451,0.167775,5.402
21.0366,34.0593,-1.2697,0.241185,4.929
21.1551,33.7311,-1.17,0.330049,4.438
21.3007,33.4362,-1.0518,0.363276,4.23
21.4828,33.1574,-0.9381,0.305029,4.607
21.7059,32.8835,-0.847,0.21411,4.976
21.966,32.6108,-0.7824,0.134395,5.341
22.2551,32.3376,-0.7421,0.072826,5.701
22.5635,32.0629,-0.7219,0.026791,6.052
22.8806,31.7869,-0.7185,0.010044,6.091
23.1954,31.5104,-0.7301,0.046651,5.603
23.4967,31.2353,-0.7586,0.097389,5.1
23.7703,30.9655,-0.8107,0.185541,4.6
24.0,30.7059,-0.8983,0.337091,4.103
24.1778,30.4536,-1.0318,0.510592,3.568
24.3081,30.1909,-1.1964,0.564574,3.393
24.3953,29.9001,-1.3579,0.48193,3.673
24.4407,29.5773,-1.4965,0.37105,4.092
24.4456,29.2255,-1.6096,0.279767,4.502
24.4125,28.8507,-1.7014,0.21455,4.902
24.345,28.4599,-1.7767,0.169688,5.291
24.2475,28.0608,-1.8394,0.138923,5.666
24.1249,27.6605,-1.8927,0.11799,6.024
23.9823,27.2656,-1.939,0.103313,6.363
23.8232,26.8786,-1.9795,0.089962,6.684
23.6503,26.4991,-2.0141,0.076074,6.989
23.4659,26.1262,-2.0429,0.062109,7.0
23.2724,25.759,-2.0659,0.048495,7.0
23.072,25.3966,-2.0833,0.035576,7.0
22.8667,25.0378,-2.0955,0.023639,7.0
22.6582,24.6816,-2.1031,0.012952,7.0
22.4481,24.3271,-2.1065,0.003697,7.0
22.2377,23.9734,-2.1064,0.004032,7.0
22.0283,23.6198,-2.1035,0.010219,7.0
21.8205,23.2657,-2.0983,0.014926,7.0
21.6152,22.9108,-2.0915,0.018263,7.0
21.4128,22.5548,-2.0836,0.020347,7.0
21.2136,22.1976,-2.0751,0.02127,7.0
21.0178,21.8392,-2.0665,0.021093,7.0
20.8253,21.4795,-2.0581,0.019847,7.0
20.6359,21.1186,-2.0505,0.017506,7.0
20.4493,20.7567,-2.0441,0.014076,7.0
20.2647,20.3938,-2.0392,0.009669,7.0
20.0816,20.03,-2.0364,0.00445,7.0
19.899,19.6658,-2.0357,0.001379,7.0
19.7161,19.3016,-2.0376,0.007586,7.0
19.5321,18.9378,-2.042,0.013926,7.0
19.346,18.5749,-2.0489,0.020116,7.0
19.1568,18.2136,-2.0583,0.025827,7.0
18.9639,17.8543,-2.0698,0.030685,7.0
18.7666,17.4975,-2.083,0.034279,7.0
18.5643,17.1436,-2.0974,0.03632,7.0
18.3569,16.7928,-2.1122,0.036354,7.0
18.1444,16.4453,-2.1264,0.033365,7.0
17.9271,16.1007,-2.1387,0.026918,7.0
17.706,15.7583,-2.1476,0.016792,7.0
17.4821,15.4167,-2.1517,0.003045,7.0
17.2564,15.0734,-2.1495,0.013302,7.0
17.0305,14.7256,-2.1401,0.032145,7.0
16.8078,14.3724,-2.1221,0.054314,7.0
16.5927,14.0135,-2.0939,0.080648,7.0
16.3901,13.648,-2.0538,0.111132,7.0
16.2045,13.2732,-2.0002,0.143589,6.615
16.0404,12.8844,-1.9329,0.172393,6.14
15.902,12.4745,-1.8537,0.189775,5.852
15.7939,12.0362,-1.7664,0.196595,5.75
15.7231,11.5718,-1.6726,0.205241,5.628
15.6973,11.0911,-1.5703,0.223062,5.398
15.7236,10.6071,-1.4567,0.249557,5.104
15.8069,10.1349,-1.3302,0.282688,4.795
15.9485,9.6904,-1.189,0.328853,4.446
16.146,9.2904,-1.0227,0.426472,3.904
16.3974,8.9551,-0.8321,0.497293,3.615
16.6832,8.7005,-0.6912,0.224718,3.926
16.9422,8.5043,-0.6042,0.325802,3.411
17.172,8.363,-0.4611,0.775257,2.896
